#id      posx      posy    estado
1171        23        21         1
1172        23        22         0
1173        23        23         0
1174        23        24         0
1175        23        25         0
1176        23        26         1
1177        23        27         0
1178        23        28         1
1179        23        29         0
1180        23        30         1
1181        23        31         1
1182        23        32         1
1183        23        33         1
1184        23        34         1
1185        23        35         1
1186        23        36         1
1187        23        37         1
1188        23        38         1
1189        23        39         1
1190        23        40         1
1191        23        41         1
1192        23        42         1
1193        23        43         1
1194        23        44         1
1195        23        45         1
1196        23        46         1
1197        23        47         1
1198        23        48         1
1199        23        49         1
1200        24         0         1
1201        24         1         1
1202        24         2         1
1203        24         3         1
1204        24         4         1
1205        24         5         1
1206        24         6         1
1207        24         7         1
1208        24         8         1
1209        24         9         1
1210        24        10         1
1211        24        11         0
1212        24        12         1
1213        24        13         1
1214        24        14         1
1215        24        15         0
1216        24        16         1
1217        24        17         0
1218        24        18         0
1219        24        19         0
1220        24        20         0
1221        24        21         0
1222        24        22         0
1223        24        23         0
1224        24        24         0
1225        24        25         0
1226        24        26         1
1227        24        27         0
1228        24        28         1
1229        24        29         0
1230        24        30         0
1231        24        31         1
1232        24        32         1
1233        24        33         1
1234        24        34         1
1235        24        35         1
1236        24        36         1
1237        24        37         1
1238        24        38         1
1239        24        39         1
1240        24        40         1
1241        24        41         1
1242        24        42         1
1243        24        43         1
1244        24        44         1
1245        24        45         1
1246        24        46         1
1247        24        47         1
1248        24        48         1
1249        24        49         1
1250        25         0         1
1251        25         1         1
1252        25         2         1
1253        25         3         1
1254        25         4         1
1255        25         5         1
1256        25         6         1
1257        25         7         1
1258        25         8         1
1259        25         9         1
1260        25        10         1
1261        25        11         1
1262        25        12         1
1263        25        13         1
1264        25        14         1
1265        25        15         1
1266        25        16         1
1267        25        17         1
1268        25        18         0
1269        25        19         0
1270        25        20         0
1271        25        21         0
1272        25        22         0
1273        25        23         0
1274        25        24         0
1275        25        25         0
1276        25        26         1
1277        25        27         1
1278        25        28         0
1279        25        29         0
1280        25        30         0
1281        25        31         1
1282        25        32         1
1283        25        33         1
1284        25        34         1
1285        25        35         1
1286        25        36         1
1287        25        37         1
1288        25        38         1
1289        25        39         1
1290        25        40         1
1291        25        41         1
1292        25        42         1
1293        25        43         1
1294        25        44         1
1295        25        45         1
1296        25        46         1
1297        25        47         1
1298        25        48         1
1299        25        49         1
1300        26         0         1
1301        26         1         1
1302        26         2         1
1303        26         3         1
1304        26         4         1
1305        26         5         1
1306        26         6         1
1307        26         7         1
1308        26         8         1
1309        26         9         1
1310        26        10         1
1311        26        11         1
1312        26        12         1
1313        26        13         1
1314        26        14         1
1315        26        15         1
1316        26        16         1
1317        26        17         1
1318        26        18         0
1319        26        19         0
1320        26        20         0
1321        26        21         0
1322        26        22         0
1323        26        23         0
1324        26        24         0
1325        26        25         0
1326        26        26         1
1327        26        27         0
1328        26        28         1
1329        26        29         0
1330        26        30         1
1331        26        31         1
1332        26        32         1
1333        26        33         1
1334        26        34         1
1335        26        35         1
1336        26        36         1
1337        26        37         1
1338        26        38         1
1339        26        39         1
1340        26        40         1
1341        26        41         1
1342        26        42         1
1343        26        43         1
1344        26        44         1
1345        26        45         1
1346        26        46         1
1347        26        47         1
1348        26        48         1
1349        26        49         1
1350        27         0         1
1351        27         1         1
1352        27         2         1
1353        27         3         1
1354        27         4         1
1355        27         5         1
1356        27         6         1
1357        27         7         1
1358        27         8         1
1359        27         9         1
1360        27        10         1
1361        27        11         1
1362        27        12         1
1363        27        13         1
1364        27        14         1
1365        27        15         1
1366        27        16         1
1367        27        17         1
1368        27        18         1
1369        27        19         1
1370        27        20         0
1371        27        21         0
1372        27        22         0
1373        27        23         0
1374        27        24         0
1375        27        25         0
1376        27        26         0
1377        27        27         0
1378        27        28         1
1379        27        29         0
1380        27        30         0
1381        27        31         1
1382        27        32         1
1383        27        33         1
1384        27        34         1
1385        27        35         1
1386        27        36         1
1387        27        37         1
1388        27        38         1
1389        27        39         1
1390        27        40         1
1391        27        41         1
1392        27        42         1
1393        27        43         1
1394        27        44         1
1395        27        45         1
1396        27        46         1
1397        27        47         1
1398        27        48         1
1399        27        49         1
1400        28         0         1
1401        28         1         1
1402        28         2         1
1403        28         3         1
1404        28         4         1
1405        28         5         1
1406        28         6         1
1407        28         7         1
1408        28         8         0
1409        28         9         0
1410        28        10         0
1411        28        11         0
1412        28        12         1
1413        28        13         1
1414        28        14         1
1415        28        15         1
1416        28        16         1
1417        28        17         1
1418        28        18         1
1419        28        19         0
1420        28        20         0
1421        28        21         0
1422        28        22         0
1423        28        23         0
1424        28        24         1
1425        28        25         0
1426        28        26         0
1427        28        27         1
1428        28        28         1
1429        28        29         0
1430        28        30         1
1431        28        31         1
1432        28        32         1
1433        28        33         1
1434        28        34         1
1435        28        35         1
1436        28        36         1
1437        28        37         1
1438        28        38         1
1439        28        39         1
1440        28        40         1
1441        28        41         1
1442        28        42         1
1443        28        43         1
1444        28        44         1
1445        28        45         1
1446        28        46         1
1447        28        47         1
1448        28        48         1
1449        28        49         1
1450        29         0         1
1451        29         1         1
1452        29         2         1
1453        29         3         1
1454        29         4         1
1455        29         5         1
1456        29         6         1
1457        29         7         1
1458        29         8         1
1459        29         9         0
1460        29        10         0
1461        29        11         0
1462        29        12         0
1463        29        13         0
1464        29        14         1
1465        29        15         1
1466        29        16         1
1467        29        17         0
1468        29        18         0
1469        29        19         0
1470        29        20         0
1471        29        21         0
1472        29        22         0
1473        29        23         1
1474        29        24         1
1475        29        25         0
1476        29        26         0
1477        29        27         1
1478        29        28         1
1479        29        29         0
1480        29        30         0
1481        29        31         1
1482        29        32         1
1483        29        33         1
1484        29        34         1
1485        29        35         1
1486        29        36         1
1487        29        37         1
1488        29        38         1
1489        29        39         1
1490        29        40         1
1491        29        41         1
1492        29        42         1
1493        29        43         1
1494        29        44         1
1495        29        45         1
1496        29        46         1
1497        29        47         1
1498        29        48         1
1499        29        49         1
1500        30         0         1
1501        30         1         1
1502        30         2         1
1503        30         3         1
1504        30         4         1
1505        30         5         1
1506        30         6         1
1507        30         7         1
1508        30         8         1
1509        30         9         0
1510        30        10         0
1511        30        11         0
1512        30        12         0
1513        30        13         0
1514        30        14         1
1515        30        15         0
1516        30        16         0
1517        30        17         0
1518        30        18         0
1519        30        19         0
1520        30        20         0
1521        30        21         0
1522        30        22         0
1523        30        23         1
1524        30        24         1
1525        30        25         0
1526        30        26         0
1527        30        27         0
1528        30        28         0
1529        30        29         0
1530        30        30         0
1531        30        31         1
1532        30        32         1
1533        30        33         1
1534        30        34         1
1535        30        35         1
1536        30        36         1
1537        30        37         1
1538        30        38         1
1539        30        39         1
1540        30        40         1
1541        30        41         1
1542        30        42         1
1543        30        43         1
1544        30        44         1
1545        30        45         1
1546        30        46         1
1547        30        47         1
1548        30        48         1
1549        30        49         1
1550        31         0         1
1551        31         1         1
1552        31         2         1
1553        31         3         1
1554        31         4         1
1555        31         5         1
1556        31         6         1
1557        31         7         1
1558        31         8         1
1559        31         9         0
1560        31        10         0
1561        31        11         0
1562        31        12         0
1563        31        13         0
1564        31        14         1
1565        31        15         0
1566        31        16         0
1567        31        17         0
1568        31        18         0
1569        31        19         0
1570        31        20         0
1571        31        21         0
1572        31        22         0
1573        31        23         1
1574        31        24         0
1575        31        25         0
1576        31        26         0
1577        31        27         0
1578        31        28         0
1579        31        29         0
1580        31        30         0
1581        31        31         1
1582        31        32         1
1583        31        33         1
1584        31        34         1
1585        31        35         1
1586        31        36         1
1587        31        37         1
1588        31        38         1
1589        31        39         1
1590        31        40         1
1591        31        41         1
1592        31        42         1
1593        31        43         1
1594        31        44         1
1595        31        45         1
1596        31        46         1
1597        31        47         1
1598        31        48         1
1599        31        49         1
1600        32         0         1
1601        32         1         1
1602        32         2         1
1603        32         3         1
1604        32         4         1
1605        32         5         1
1606        32         6         1
1607        32         7         1
1608        32         8         1
1609        32         9         0
1610        32        10         0
1611        32        11         0
1612        32        12         0
1613        32        13         0
1614        32        14         0
1615        32        15         0
1616        32        16         0
1617        32        17         0
1618        32        18         0
1619        32        19         0
1620        32        20         0
1621        32        21         0
1622        32        22         0
1623        32        23         0
1624        32        24         0
1625        32        25         1
1626        32        26         1
1627        32        27         1
1628        32        28         1
1629        32        29         1
1630        32        30         0
1631        32        31         1
1632        32        32         1
1633        32        33         1
1634        32        34         1
1635        32        35         1
1636        32        36         1
1637        32        37         1
1638        32        38         1
1639        32        39         1
1640        32        40         1
1641        32        41         1
1642        32        42         1
1643        32        43         1
1644        32        44         1
1645        32        45         1
1646        32        46         1
1647        32        47         1
1648        32        48         1
1649        32        49         1
1650        33         0         1
1651        33         1         1
1652        33         2         1
1653        33         3         1
1654        33         4         1
1655        33         5         1
1656        33         6         1
1657        33         7         1
1658        33         8         1
1659        33         9         0
1660        33        10         0
