#t           SANO     QUEMANDOSE        QUEMADO
736         688370            931         310699
737         687457            913         311630
738         686529            928         312543
739         685597            932         313471
740         684659            938         314403
741         683714            945         315341
742         682741            973         316286
743         681780            961         317259
744         680837            943         318220
745         679908            929         319163
746         679033            875         320092
747         678176            857         320967
748         677290            886         321824
749         676417            873         322710
750         675576            841         323583
751         674759            817         324424
752         673966            793         325241
753         673182            784         326034
754         672404            778         326818
755         671598            806         327596
756         670769            829         328402
757         669912            857         329231
758         669060            852         330088
759         668166            894         330940
760         667288            878         331834
761         666427            861         332712
762         665583            844         333573
763         664702            881         334417
764         663817            885         335298
765         662902            915         336183
766         661977            925         337098
767         661055            922         338023
768         660121            934         338945
769         659166            955         339879
770         658248            918         340834
771         657350            898         341752
772         656469            881         342650
773         655615            854         343531
774         654726            889         344385
775         653844            882         345274
776         652964            880         346156
777         652068            896         347036
778         651187            881         347932
779         650302            885         348813
780         649437            865         349698
781         648577            860         350563
782         647719            858         351423
783         646843            876         352281
784         645975            868         353157
785         645134            841         354025
786         644277            857         354866
787         643414            863         355723
788         642580            834         356586
789         641718            862         357420
790         640838            880         358282
791         639967            871         359162
792         639136            831         360033
793         638281            855         360864
794         637411            870         361719
795         636560            851         362589
796         635704            856         363440
797         634884            820         364296
798         634049            835         365116
799         633210            839         365951
800         632360            850         366790
801         631476            884         367640
802         630568            908         368524
803         629666            902         369432
804         628764            902         370334
805         627864            900         371236
806         626949            915         372136
807         626029            920         373051
808         625126            903         373971
809         624191            935         374874
810         623282            909         375809
811         622339            943         376718
812         621381            958         377661
813         620441            940         378619
814         619481            960         379559
815         618533            948         380519
816         617564            969         381467
817         616577            987         382436
818         615556           1021         383423
819         614522           1034         384444
820         613465           1057         385478
821         612403           1062         386535
822         611373           1030         387597
823         610323           1050         388627
824         609279           1044         389677
825         608185           1094         390721
826         607039           1146         391815
827         605921           1118         392961
828         604825           1096         394079
829         603677           1148         395175
830         602501           1176         396323
831         601341           1160         397499
832         600177           1164         398659
833         598991           1186         399823
834         597792           1199         401009
835         596594           1198         402208
836         595418           1176         403406
837         594245           1173         404582
838         593087           1158         405755
839         591936           1151         406913
840         590802           1134         408064
841         589682           1120         409198
842         588583           1099         410318
843         587483           1100         411417
844         586386           1097         412517
845         585284           1102         413614
846         584194           1090         414716
847         583122           1072         415806
848         582061           1061         416878
849         580953           1108         417939
850         579809           1144         419047
851         578686           1123         420191
852         577569           1117         421314
853         576481           1088         422431
854         575397           1084         423519
855         574335           1062         424603
856         573240           1095         425665
857         572177           1063         426760
858         571087           1090         427823
859         569968           1119         428913
860         568835           1133         430032
861         567700           1135         431165
862         566572           1128         432300
863         565419           1153         433428
864         564293           1126         434581
865         563141           1152         435707
866         562011           1130         436859
867         560896           1115         437989
868         559787           1109         439104
869         558644           1143         440213
870         557516           1128         441356
871         556406           1110         442484
872         555306           1100         443594
873         554220           1086         444694
874         553120           1100         445780
875         552049           1071         446880
876         551030           1019         447951
877         550025           1005         448970
878         549044            981         449975
879         548026           1018         450956
880         546979           1047         451974
881         545919           1060         453021
882         544840           1079         454081
883         543745           1095         455160
884         542659           1086         456255
885         541566           1093         457341
886         540488           1078         458434
887         539437           1051         459512
888         538386           1051         460563
889         537285           1101         461614
890         536154           1131         462715
891         535016           1138         463846
892         533804           1212         464984
893         532587           1217         466196
894         531422           1165         467413
895         530274           1148         468578
896         529108           1166         469726
897         527899           1209         470892
898         526711           1188         472101
899         525528           1183         473289
900         524342           1186         474472
901         523188           1154         475658
902         522055           1133         476812
903         520959           1096         477945
904         519872           1087         479041
905         518783           1089         480128
906         517631           1152         481217
907         516473           1158         482369
908         515305           1168         483527
909         514159           1146         484695
910         512980           1179         485841
911         511776           1204         487020
912         510572           1204         488224
913         509371           1201         489428
914         508168           1203         490629
915         506960           1208         491832
916         505760           1200         493040
917         504548           1212         494240
918         503336           1212         495452
919         502164           1172         496664
920         500989           1175         497836
921         499824           1165         499011
922         498640           1184         500176
923         497486           1154         501360
924         496318           1168         502514
925         495105           1213         503682
926         493893           1212         504895
927         492715           1178         506107
928         491479           1236         507285
929         490204           1275         508521
930         488941           1263         509796
931         487660           1281         511059
932         486410           1250         512340
933         485194           1216         513590
934         484018           1176         514806
935         482895           1123         515982
936         481790           1105         517105
937         480653           1137         518210
938         479517           1136         519347
939         478338           1179         520483
940         477126           1212         521662
941         475906           1220         522874
942         474726           1180         524094
943         473562           1164         525274
944         472402           1160         526438
945         471250           1152         527598
946         470099           1151         528750
947         468936           1163         529901
948         467757           1179         531064
949         466610           1147         532243
950         465511           1099         533390
951         464365           1146         534489
952         463201           1164         535635
953         462037           1164         536799
954         460860           1177         537963
955         459689           1171         539140
956         458535           1154         540311
957         457389           1146         541465
958         456191           1198         542611
959         455004           1187         543809
960         453814           1190         544996
961         452589           1225         546186
962         451419           1170         547411
963         450267           1152         548581
964         449101           1166         549733
965         447918           1183         550899
966         446694           1224         552082
967         445482           1212         553306
968         444284           1198         554518
969         443093           1191         555716
970         441895           1198         556907
971         440678           1217         558105
972         439464           1214         559322
973         438254           1210         560536
974         437062           1192         561746
975         435855           1207         562938
976         434649           1206         564145
977         433486           1163         565351
978         432335           1151         566514
979         431153           1182         567665
980         429936           1217         568847
981         428727           1209         570064
982         427538           1189         571273
983         426365           1173         572462
984         425202           1163         573635
985         424056           1146         574798
986         422946           1110         575944
987         421831           1115         577054
988         420733           1098         578169
989         419648           1085         579267
990         418510           1138         580352
991         417378           1132         581490
992         416227           1151         582622
993         415048           1179         583773
994         413878           1170         584952
995         412692           1186         586122
996         411492           1200         587308
997         410294           1198         588508
998         409130           1164         589706
999         407956           1174         590870
1000         406781           1175         592044
1001         405590           1191         593219
1002         404425           1165         594410
1003         403257           1168         595575
1004         402120           1137         596743
1005         401005           1115         597880
1006         399870           1135         598995
1007         398711           1159         600130
1008         397544           1167         601289
1009         396382           1162         602456
1010         395211           1171         603618
1011         394047           1164         604789
1012         392908           1139         605953
1013         391767           1141         607092
1014         390603           1164         608233
1015         389443           1160         609397
1016         388303           1140         610557
1017         387180           1123         611697
1018         386043           1137         612820
1019         384887           1156         613957
1020         383747           1140         615113
1021         382585           1162         616253
1022         381432           1153         617415
1023         380265           1167         618568
1024         379067           1198         619735
1025         377915           1152         620933
1026         376776           1139         622085
1027         375689           1087         623224
1028         374605           1084         624311
1029         373486           1119         625395
1030         372372           1114         626514
1031         371249           1123         627628
1032         370138           1111         628751
1033         369069           1069         629862
1034         368035           1034         630931
1035         366989           1046         631965
1036         365958           1031         633011
1037         364901           1057         634042
1038         363828           1073         635099
1039         362761           1067         636172
1040         361743           1018         637239
1041         360714           1029         638257
1042         359701           1013         639286
1043         358713            988         640299
1044         357756            957         641287
1045         356814            942         642244
1046         355890            924         643186
1047         354934            956         644110
1048         353985            949         645066
1049         353016            969         646015
1050         352031            985         646984
1051         351018           1013         647969
1052         349998           1020         648982
1053         349020            978         650002
1054         348090            930         650980
1055         347205            885         651910
1056         346341            864         652795
1057         345461            880         653659
1058         344573            888         654539
1059         343694            879         655427
1060         342821            873         656306
1061         341954            867         657179
1062         341086            868         658046
1063         340200            886         658914
1064         339306            894         659800
1065         338419            887         660694
1066         337565            854         661581
1067         336715            850         662435
1068         335859            856         663285
1069         335018            841         664141
1070         334166            852         664982
1071         333307            859         665834
1072         332451            856         666693
1073         331635            816         667549
1074         330866            769         668365
1075         330089            777         669134
1076         329317            772         669911
1077         328549            768         670683
1078         327761            788         671451
1079         326951            810         672239
1080         326145            806         673049
1081         325355            790         673855
1082         324560            795         674645
1083         323787            773         675440
1084         323026            761         676213
1085         322275            751         676974
